ID,Название,Описание,Цена,Вес,Тип,Калории
1,Борщ,Традиционный украинский суп со свеклой и капустой,350,300,SOUP,150
2,Том Ям,Острый тайский суп с креветками и кокосовым молоком,420,350,SOUP,180
3,Куриный суп,Ароматный суп с курицей и домашней лапшой,280,400,SOUP,120
4,Стейк Рибай,Говяжий стейк с розмарином и запеченными овощами,1200,350,MAIN,450
5,Лосось на гриле,Филе лосося с лимоном и спаржей,890,280,MAIN,320
6,Паста Карбонара,Спагетти с беконом сыром и соусом,560,400,MAIN,380
7,Тирамису,Итальянский десерт с кофе и маскарпоне,450,180,DESSERT,280
8,Чизкейк Нью-Йорк,Классический чизкейк с ягодным соусом,380,200,DESSERT,320
9,Мороженое,Ванильное мороженое с шоколадным топпингом,220,150,DESSERT,180
10,Сок апельсиновый,Свежевыжатый апельсиновый сок,180,250,DRINK,110
11,Капучино,Кофе с молочной пенкой,220,200,DRINK,80
12,Мохито,Освежающий коктейль с мятой и лаймом,350,400,DRINK,150
13,Детские наггетсы,Куриные наггетсы с картофелем фри,320,250,CHILDREN,280
14,Блинчики с вареньем,Тонкие блинчики с малиновым вареньем,240,200,CHILDREN,220
15,Фруктовый салат,Свежие фрукты с йогуртовой заправкой,190,180,CHILDREN,90
16,Цезарь с курицей,Салат с курицей сухариками и соусом Цезарь,480,300,MAIN,320
17,Греческий салат,Салат с овощами сыром фета и оливками,320,250,MAIN,180
18,Пицца Маргарита,Классическая итальянская пицца,650,500,MAIN,420
19,Шоколадный фондан,Десерт с жидкой шоколадной начинкой,390,150,DESSERT,350
20,Лимонад,Домашний лимонад с мятой и лаймом,280,350,DRINK,120
